STATION_SEQ,STATION_ID,EASTING,NORTHING,WATER_ELEV,MEASUREMENT_DATE,MYEAR,REFERENCE_ELEVATION_CODE,REFERENCE_ELEVATION,DEPTH_TO_WATER
1012771,BRR  1D,436315.82,3682280.8,210.94,2007-09-25,2007,S,296.19999999999999,85.260000000000005
1012771,BRR  1D,436315.82,3682280.8,210.69,2010-08-26,2010,S,296.19999999999999,85.510000000000005
1012771,BRR  1D,436315.82,3682280.8,209.5,2009-02-23,2009,S,296.19999999999999,86.700000000000003
1012771,BRR  1D,436315.82,3682280.8,213.5,2006-03-15,2006,S,296.19999999999999,82.700000000000003
1012771,BRR  1D,436315.82,3682280.8,213.5,2006-03-15,2006,S,296.19999999999999,82.700000000000003
1012771,BRR  1D,436315.82,3682280.8,218.59999999999999,1992-06-09,1992,S,296.19999999999999,77.599999999999994
1012771,BRR  1D,436315.82,3682280.8,215.83999999999997,1991-08-26,1991,S,296.19999999999999,80.359999999999999
1012771,BRR  1D,436315.82,3682280.8,218.00999999999999,1994-04-18,1994,S,296.19999999999999,78.189999999999998
1012771,BRR  1D,436315.82,3682280.8,216.03999999999999,1991-11-12,1991,S,296.19999999999999,80.159999999999997
1012771,BRR  1D,436315.82,3682280.8,217.09999999999999,1996-03-28,1996,S,296.19999999999999,79.099999999999994
1012771,BRR  1D,436315.82,3682280.8,217.16999999999999,1994-09-08,1994,S,296.19999999999999,79.030000000000001
1012771,BRR  1D,436315.82,3682280.8,220.38999999999999,1993-08-28,1993,S,296.19999999999999,75.810000000000002
1012771,BRR  1D,436315.82,3682280.8,214.99000000000001,1991-03-05,1991,S,296.19999999999999,81.209999999999994
1012771,BRR  1D,436315.82,3682280.8,218.27999999999997,1992-08-23,1992,S,296.19999999999999,77.920000000000002
1012771,BRR  1D,436315.82,3682280.8,215.81,1991-05-02,1991,S,296.19999999999999,80.390000000000001
1012771,BRR  1D,436315.82,3682280.8,213.32999999999998,1990-08-16,1990,S,296.19999999999999,82.870000000000005
1012771,BRR  1D,436315.82,3682280.8,219.18000000000001,1992-03-04,1992,S,296.19999999999999,77.019999999999996
1012771,BRR  1D,436315.82,3682280.8,214.12,1990-11-16,1990,S,296.19999999999999,82.079999999999998
1012771,BRR  1D,436315.82,3682280.8,216.56,1995-03-03,1995,S,296.19999999999999,79.640000000000001
1012771,BRR  1D,436315.82,3682280.8,216.50999999999999,1994-11-23,1994,S,296.19999999999999,79.689999999999998
1012771,BRR  1D,436315.82,3682280.8,219.5,1993-12-03,1993,S,296.19999999999999,76.700000000000003
1012771,BRR  1D,436315.82,3682280.8,218.25,1994-03-20,1994,S,296.19999999999999,77.950000000000003
1012771,BRR  1D,436315.82,3682280.8,220.20999999999998,1993-05-27,1993,S,296.19999999999999,75.989999999999995
1012771,BRR  1D,436315.82,3682280.8,218.37,1992-12-09,1992,S,296.19999999999999,77.829999999999998
1012771,BRR  1D,436315.82,3682280.8,218.79999999999998,1993-03-07,1993,S,296.19999999999999,77.400000000000006
1012771,BRR  1D,436315.82,3682280.8,213.12,1990-06-12,1990,S,296.19999999999999,83.079999999999998
1012771,BRR  1D,436315.82,3682280.8,217.09999999999999,1996-03-28,1996,S,296.19999999999999,79.099999999999994
1012771,BRR  1D,436315.82,3682280.8,213.34999999999999,2005-03-18,2005,S,296.19999999999999,82.849999999999994
1012771,BRR  1D,436315.82,3682280.8,210.09999999999999,2008-02-21,2008,S,296.19999999999999,86.099999999999994
1012771,BRR  1D,436315.82,3682280.8,212.19999999999999,2007-02-15,2007,S,296.19999999999999,84
1012771,BRR  1D,436315.82,3682280.8,209.89999999999998,2008-08-28,2008,S,296.19999999999999,86.299999999999997
1012771,BRR  1D,436315.82,3682280.8,213.60999999999999,2003-08-15,2003,S,296.19999999999999,82.590000000000003
1012771,BRR  1D,436315.82,3682280.8,213.41999999999999,2003-08-16,2003,S,296.19999999999999,82.780000000000001
1012771,BRR  1D,436315.82,3682280.8,213.41999999999999,2003-08-16,2003,S,296.19999999999999,82.780000000000001
1012771,BRR  1D,436315.82,3682280.8,214.02999999999997,2004-03-01,2004,S,296.19999999999999,82.170000000000002
1012771,BRR  1D,436315.82,3682280.8,216.24000000000001,2004-03-01,2004,S,296.19999999999999,79.959999999999994
1012771,BRR  1D,436315.82,3682280.8,213.04999999999998,2006-09-18,2006,S,296.19999999999999,83.150000000000006
1012771,BRR  1D,436315.82,3682280.8,209.59999999999999,2011-02-17,2011,S,296.19999999999999,86.599999999999994
1012771,BRR  1D,436315.82,3682280.8,209.59999999999999,2010-02-18,2010,S,296.19999999999999,86.599999999999994
1012771,BRR  1D,436315.82,3682280.8,209.29999999999998,2009-10-21,2009,S,296.19999999999999,86.900000000000006
1012771,BRR  1D,436315.82,3682280.8,212.68000000000001,2002-05-08,2002,S,296.19999999999999,83.519999999999996
1012772,BRR  2D,436234.5,3682246.56,218.84000000000003,1993-05-27,1993,S,292.10000000000002,73.260000000000005
1012772,BRR  2D,436234.5,3682246.56,214.89000000000004,1995-03-03,1995,S,292.10000000000002,77.209999999999994
1012772,BRR  2D,436234.5,3682246.56,211.60000000000002,2005-03-18,2005,S,292.10000000000002,80.5
1012772,BRR  2D,436234.5,3682246.56,214.87,1994-11-23,1994,S,292.10000000000002,77.230000000000004
1012772,BRR  2D,436234.5,3682246.56,215.21000000000004,1996-05-13,1996,S,292.10000000000002,76.890000000000001
1012772,BRR  2D,436234.5,3682246.56,215.21000000000004,1996-05-13,1996,S,292.10000000000002,76.890000000000001
