50958.40	75534.40	283.80
51191.30	75719.00	282.90
48809.10	74231.40	227.00
51068.10	74167.50	221.30
52046.60	75297.40	250.00
49736.00	72515.50	205.80
50645.90	72725.50	200.50
49175.70	75538.90	278.00
48413.10	75155.70	254.40
48195.00	73881.80	216.00
51750.50	74566.70	236.30
51658.30	75649.10	275.40
51391.60	76131.90	291.50
50115.80	75601.70	285.60
50121.60	75389.80	280.70
50172.80	74757.70	270.50
51345.20	75553.20	279.10
50953.50	75213.30	277.00
50458.30	74897.30	274.00
50016.70	74971.70	281.80
49778.70	74882.20	277.70
49965.70	75171.20	283.80
50149.60	73664.50	216.10
50314.80	75675.60	285.30
50140.00	74090.20	230.80
