"ANALYTE_NAME"|"COUNT"
"PHENANTHRENE"|83
"PYRENE"|83
"2-CHLOROPHENOL"|82
"2-METHYLNAPHTHALENE"|82
"2-NITROANILINE"|82
"2,4,5-TRICHLOROPHENOL"|82
"4-CHLOROANILINE"|82
"4-NITROPHENOL"|82
"DIBENZOFURAN"|82
"M-NITROANILINE"|82
"METHYL TERTIARY BUTYL ETHER (MTBE)"|82
"O-CRESOL (2-METHYLPHENOL)"|82
"P-CHLORO-M-CRESOL"|82
"P-NITROANILINE"|82
"PENTACHLOROPHENOL"|82
"1,1,2-TRICHLORO-1,2,2-TRIFLUOROETHANE"|81
"ALDRIN"|81
"BENZYL ALCOHOL"|81
"CUMENE (ISOPROPYLBENZENE)"|81
"DDT"|81
"DIELDRIN"|81
"HEPTACHLOR"|81
"AROCLOR 1016"|80
"AROCLOR 1221"|80
"AROCLOR 1232"|80
"AROCLOR 1242"|80
"AROCLOR 1248"|80
"AROCLOR 1254"|80
"AROCLOR 1260"|80
"CYCLOHEXANE"|80
"METHYL ACETATE"|80
"METHYLCYCLOHEXANE"|80
"ALPHA-BENZENE HEXACHLORIDE"|77
"BETA-BENZENE HEXACHLORIDE"|77
"DDD"|77
"DDE"|77
"DELTA-BENZENE HEXACHLORIDE"|77
"ENDOSULFAN I"|77
"ENDOSULFAN II"|77
"ENDOSULFAN SULFATE"|77
"HEPTACHLOR EPOXIDE"|77
"METHYL METHACRYLATE"|77
"SILICON"|77
"SULFIDE"|77
"STRONTIUM-89/90"|75
"1,2-DICHLOROETHYLENE"|73
"PLUTONIUM-242"|72
"1,1,1,2-TETRACHLOROETHANE"|71
"1,2,3-TRICHLOROPROPANE"|71
"ALLYL CHLORIDE"|71
"DIBROMOMETHANE (METHYLENE BROMIDE)"|71
"IODOMETHANE (METHYL IODIDE)"|71
"METHACRYLONITRILE"|71
"PROPIONITRILE"|71
"TRANS-1,4-DICHLORO-2-BUTENE"|71
"2-NITROPHENOL"|70
"ACETONITRILE (METHYL CYANIDE)"|70
"ACROLEIN"|70
"ACRYLONITRILE"|70
"BENZO[B]FLUORANTHENE"|69
"URANIUM-234"|68
"ETHYL METHACRYLATE"|67
"PENTACHLORODIBENZO-P-DIOXINS"|67
"PENTACHLOROETHANE"|67
"ACETOPHENONE"|66
"N-NITROSODIMETHYLAMINE"|66
"1-NAPHTHYLAMINE"|65
"1,2,4,5-TETRACHLOROBENZENE"|65
"1,3-DINITROBENZENE"|65
"1,4-NAPHTHOQUINONE"|65
"2-ACETYLAMINOFLUORENE"|65
"2-METHYLANILINE (O-TOLUIDINE)"|65
"2-PICOLINE"|65
"2,3,4,6-TETRACHLOROPHENOL"|65
"2,4,5-T"|65
"2,6-DICHLOROPHENOL"|65
"3-METHYLCHOLANTHRENE"|65
"4-AMINOBIPHENYL"|65
"7,12-DIMETHYLBENZ(A)ANTHRACENE"|65
"ANILINE"|65
"CHLOROBENZILATE"|65
"ISOSAFROLE"|65
"METHYL METHANESULFONATE"|65
