"ANALYTE_NAME"|"COUNT"
"CIS-1,3-DICHLOROPROPENE"|1232
"COBALT"|1860
"COBALT-57"|653
"COBALT-58"|274
"COBALT-60"|1360
"COPPER"|1915
"CUMENE (ISOPROPYLBENZENE)"|81
"CURIUM-242"|1236
"CURIUM-243/244"|1253
"CURIUM-244"|10
"CURIUM-245/246"|1098
"CURIUM-246"|24
"CYANIDE"|1800
"CYCLOHEXANE"|80
"CYCLOHEXANONE"|1
"DDD"|77
"DDE"|77
"DDT"|81
"DELTA-BENZENE HEXACHLORIDE"|77
"DI-N-BUTYL PHTHALATE"|83
"DIALLATE"|52
"DIAZINON"|13
"DIBENZ[AH]ANTHRACENE"|83
"DIBENZOFURAN"|82
"DIBROMOCHLOROMETHANE"|1232
"DIBROMOMETHANE (METHYLENE BROMIDE)"|71
"DICHLORODIFLUOROMETHANE"|134
"DICHLOROMETHANE (METHYLENE CHLORIDE)"|1528
"DICHLORVOS"|13
"DIELDRIN"|81
"DIETHYL PHTHALATE"|83
"DIMETHOATE"|50
"DIMETHYL PHTHALATE"|83
"DINITRO-O-CRESOL"|83
"DINOSEB"|55
"DIOXIN"|14
"DIPHENYLAMINE"|48
"DISULFOTON"|63
"ENDOSULFAN I"|77
"ENDOSULFAN II"|77
"ENDOSULFAN SULFATE"|77
"ENDRIN"|352
"ENDRIN ALDEHYDE"|61
"ENDRIN KETONE"|20
"ETHANE"|2
"ETHOPROP"|13
"ETHYL ACETATE"|3
"ETHYL METHACRYLATE"|67
"ETHYL METHANESULFONATE"|52
"ETHYLBENZENE"|1232
"ETHYLENE"|2
"EUROPIUM-152"|924
"EUROPIUM-154"|931
"EUROPIUM-155"|924
"FAMPHUR"|50
"FENTHION"|13
"FLUORANTHENE"|83
"FLUORENE"|83
"FLUORIDE"|948
"FURANS"|14
"GAMMA-CHLORDANE"|33
"GROSS ALPHA"|3624
"HEPTACHLOR"|81
"HEPTACHLOR EPOXIDE"|77
"HEPTACHLORODIBENZO-P-DIOXINS"|15
"HEPTACHLORODIBENZO-P-FURANS"|15
