STATION_SEQ,STATION_ID,EASTING,NORTHING,LATITUDE,LONGITUDE,ANALYSIS_DATE,COLLECTION_DATE,MDATE,MYEAR,ANALYTE_NAME,RESULT,RESULT_UNITS,PQL,PQL_UNITS,RESULT_SEQ,SAMPLE_SEQ,GROUND_ELEVATION,REFERENCE_ELEVATION,TOP_ELEV,BOTTOM_ELEV
24790143,FSP249B,436418.523,3680752.661,33.2656443,-81.68266005,2003-07-01 00:00:00,2003-06-10 00:00:00,2003-07-01 00:00:00,2003,TECHNETIUM-99,23.3,pCi/L,9.82,pCi/L,27644509,27478623,185.69999999999999,187.88999999999999,184.88999999999999,179.88999999999999
1016746,FPZ  6B,436872.77744615,3681120.54362076,33.2689891509,-81.6778087487,2003-07-01 00:00:00,2003-06-10 00:00:00,2003-07-01 00:00:00,2003,TECHNETIUM-99,58.4,pCi/L,12.37,pCi/L,27644549,27478617,189.40000000000001,191.59999999999999,189.31999999999999,184.31999999999999
1016748,FPZ  7B,436967.8166081,3681207.44099727,33.2697784921,-81.6767944033,2003-07-01 00:00:00,2003-06-10 00:00:00,2003-07-01 00:00:00,2003,TECHNETIUM-99,79.9,pCi/L,14.77,pCi/L,27644569,27478619,194.52000000000001,196.40000000000001,196,191.02000000000001
1016747,FPZ  7A,436967.8166081,3681207.44099727,33.2697784921,-81.6767944033,2003-07-02 00:00:00,2003-06-10 00:00:00,2003-07-02 00:00:00,2003,TECHNETIUM-99,27.6,pCi/L,7.42,pCi/L,27644609,27478618,194.5,196.16,188.41,185.91
24790144,FSP  2A,436774.047,3680895.143,33.26695033,-81.67885304,2003-07-01 00:00:00,2003-06-10 00:00:00,2003-07-01 00:00:00,2003,TECHNETIUM-99,8.89,pCi/L,5.97,pCi/L,27644589,27478615,183.5,186.69999999999999,166.69999999999999,164.19999999999999
24790143,FSP249B,436418.523,3680752.661,33.2656443,-81.68266005,2003-07-02 00:00:00,2003-06-10 00:00:00,2003-07-02 00:00:00,2003,TECHNETIUM-99,22.9,pCi/L,9.43,pCi/L,27644643,27478623,185.69999999999999,187.88999999999999,184.88999999999999,179.88999999999999
1016745,FPZ  6A,436872.77744615,3681120.54362076,33.2689891509,-81.6778087487,2003-06-23 00:00:00,2003-06-10 00:00:00,2003-06-23 00:00:00,2003,TECHNETIUM-99,283,pCi/L,21.21,pCi/L,27645731,27478616,189.40000000000001,191.53999999999999,180.16,177.66
26735465,FBI 13D,436803.753,3681430.245,33.2717785,-81.67857144,2003-09-27 00:00:00,2003-09-09 00:00:00,2003-09-27 00:00:00,2003,TECHNETIUM-99,164,pCi/L,30.11,pCi/L,28150149,27944476,231.27000000000001,233.66999999999999,174.53999999999999,164.52999999999997
26735464,FBI 17D,436854.818,3681323.153,33.27081556,-81.67801569,2003-09-27 00:00:00,2003-09-09 00:00:00,2003-09-27 00:00:00,2003,TECHNETIUM-99,96.1,pCi/L,25.64,pCi/L,28150115,27944475,220.65000000000001,223.63999999999999,185.63999999999999,174.94
1016593,FEX  1,436838.58745539,3681347.93703455,33.2710381526,-81.6781916845,2003-09-26 00:00:00,2003-09-09 00:00:00,2003-09-26 00:00:00,2003,TECHNETIUM-99,50.1,pCi/L,22.32,pCi/L,28150081,27944474,224.46000000000001,225.94999999999999,197.44999999999999,172.5
1016593,FEX  1,436838.58745539,3681347.93703455,33.2710381526,-81.6781916845,2003-09-27 00:00:00,2003-09-09 00:00:00,2003-09-27 00:00:00,2003,TECHNETIUM-99,49.6,pCi/L,23.26,pCi/L,28150185,27944474,224.46000000000001,225.94999999999999,197.44999999999999,172.5
