STATION_SEQ,STATION_ID,EASTING,NORTHING,LATITUDE,LONGITUDE,ANALYSIS_DATE,COLLECTION_DATE,MDATE,MYEAR,ANALYTE_NAME,RESULT,RESULT_UNITS,PQL,PQL_UNITS,RESULT_SEQ,SAMPLE_SEQ,GROUND_ELEVATION,REFERENCE_ELEVATION,TOP_ELEV,BOTTOM_ELEV
1013108,FSB116D,437157.74,3681145.72,33.2692328757,-81.6747509839,2006-02-22 00:00:00,2006-01-25 00:00:00,2006-02-22 00:00:00,2006,CESIUM-137,0.297,pCi/L,12.1,pCi/L,29783646,29726901,200.90000000000001,203.09999999999999,198.59999999999999,188.59999999999999
1013095,FSB111D,436899.85,3681958.82,33.2765516724,-81.6775764793,2006-02-24 00:00:00,2006-01-30 00:00:00,2006-02-24 00:00:00,2006,CESIUM-137,0.977,pCi/L,12.1,pCi/L,29792106,29726890,274.39999999999998,276.80000000000001,224.10000000000002,204.10000000000002
1015609,FSL  8D,436778.78,3682123.89,33.2780334473,-81.678887987,2006-02-26 00:00:00,2006-01-30 00:00:00,2006-02-26 00:00:00,2006,CESIUM-137,-2.24,pCi/L,8.4,pCi/L,29792170,29726934,288.80000000000001,290.80000000000001,224.80000000000001,204.70000000000002
28578762,FSB130D,436743.637,3681291.874,33.2705269,-81.67920723,2006-02-26 00:00:00,2006-01-30 00:00:00,2006-02-26 00:00:00,2006,CESIUM-137,0.729,pCi/L,9.99,pCi/L,29792149,29726918,231.96000000000001,234.78999999999999,199.78999999999999,189.78
28661817,FSB134D,436507.234,3681156.376,33.26929089,-81.68173593,2005-03-10 00:00:00,2005-03-03 00:00:00,2005-03-10 00:00:00,2005,CESIUM-137,-2.94,pCi/L,22.1,pCi/L,29214317,29158985,220.22999999999999,223.30000000000001,193.63,183.63
28079297,FSB112DR,436442.132,3681193.707,33.26962376,-81.68243752,2005-03-10 00:00:00,2005-03-03 00:00:00,2005-03-10 00:00:00,2005,CESIUM-137,0.418,pCi/L,23.5,pCi/L,29214313,29158974,226.65000000000001,230.03999999999999,180,169.99000000000001
28661818,FSB135D,436407.977,3681079.14,33.2685884,-81.68279619,2005-03-10 00:00:00,2005-03-03 00:00:00,2005-03-10 00:00:00,2005,CESIUM-137,3.2,pCi/L,23.2,pCi/L,29214319,29158986,219.12,222.11000000000001,189.05000000000001,179.06
28661819,FSB136D,436420.123,3681045.886,33.26828918,-81.68266344,2005-03-10 00:00:00,2005-03-03 00:00:00,2005-03-10 00:00:00,2005,CESIUM-137,-2.28,pCi/L,21.2,pCi/L,29214321,29158987,215.09999999999999,217.99000000000001,201.81999999999999,191.81999999999999
29191793,FSB125DR,436766.8,3681484,33.27226118,-81.67897195,2005-03-18 00:00:00,2005-03-10 00:00:00,2005-03-18 00:00:00,2005,CESIUM-137,3.72,pCi/L,22.7,pCi/L,29239392,29193607,240.75,243.97999999999999,188.97999999999999,178.97999999999999
1012772,BRR  2D,436234.5,3682246.56,33.2791078259,-81.6847409018,2005-03-24 00:00:00,2005-03-18 00:00:00,2005-03-24 00:00:00,2005,CESIUM-137,-3.48,pCi/L,22.2,pCi/L,29244049,29175227,289.60000000000002,292.10000000000002,218.60000000000002,198.60000000000002
1012773,BRR  3D,436215.11,3682219.97,33.2788668476,-81.6849472339,2005-03-24 00:00:00,2005-03-18 00:00:00,2005-03-24 00:00:00,2005,CESIUM-137,-3.63,pCi/L,24.8,pCi/L,29244056,29175228,289.5,291.89999999999998,219.49999999999997,199.49999999999997
1016000,BRR  8DR,436158.967,3682265.408,33.2792733568,-81.6855532854,2005-03-23 00:00:00,2005-03-18 00:00:00,2005-03-23 00:00:00,2005,CESIUM-137,1.9,pCi/L,25.1,pCi/L,29244064,29175225,277.39999999999998,280.10000000000002,221.70000000000002,206.70000000000002
1015812,BRR  6D,436491.87,3682298.04,33.2795873481,-81.681980935,2005-03-24 00:00:00,2005-03-18 00:00:00,2005-03-24 00:00:00,2005,CESIUM-137,-4.59,pCi/L,21.8,pCi/L,29244060,29175232,294.30000000000001,296.19999999999999,221.19999999999999,201.29999999999998
6163094,FMC-002F,436753.848,3680850.058,33.2665425,-81.67906676,2005-09-27 00:00:00,2005-09-14 00:00:00,2005-09-27 00:00:00,2005,CESIUM-137,-3.1,pCi/L,20.7,pCi/L,29578531,29415921,,,,
6163094,FMC-002F,436753.848,3680850.058,33.2665425,-81.67906676,2005-09-27 00:00:00,2005-09-14 00:00:00,2005-09-27 00:00:00,2005,CESIUM-137,1.09,pCi/L,20.1,pCi/L,29578533,29415921,,,,
6163078,FM-A7U,436076.9,3680389,33.26234403,-81.6863021,2005-09-21 00:00:00,2005-09-14 00:00:00,2005-09-21 00:00:00,2005,CESIUM-137,5.02,pCi/L,19.3,pCi/L,29578529,29415930,,,,
6163068,FM-2BD,437272,3681341,33.27100088,-81.67353774,2005-09-28 00:00:00,2005-09-15 00:00:00,2005-09-28 00:00:00,2005,CESIUM-137,-0.818,pCi/L,20.1,pCi/L,29578545,29415926,,,,
1013061,FSB 94DR,436658.67,3681589.61,33.2732073975,-81.6801403179,2006-08-23 00:00:00,2006-07-26 00:00:00,2006-08-23 00:00:00,2006,CESIUM-137,38.9,pCi/L,10.6,pCi/L,30362181,30281711,278.39999999999998,281.26999999999998,206.26999999999998,186.16999999999999
1013052,FSB 90D,436808.49,3681890.06,33.2759261326,-81.6785526557,2006-08-23 00:00:00,2006-07-26 00:00:00,2006-08-23 00:00:00,2006,CESIUM-137,2.46,pCi/L,6.14,pCi/L,30362207,30281709,276.10000000000002,279.07999999999998,228.07999999999998,208.07999999999998
1013065,FSB 95DR,436595.57,3681589.89,33.2732062144,-81.6808178449,2006-08-24 00:00:00,2006-07-31 00:00:00,2006-08-24 00:00:00,2006,CESIUM-137,127,pCi/L,21.1,pCi/L,30369888,30281713,282,284.39999999999998,209.39999999999998,189.39999999999998
30416238,FAS-096,436607.223,3680932.497,33.26727746,-81.68064673,2006-10-26 00:00:00,2006-10-18 00:00:00,2006-10-26 00:00:00,2006,CESIUM-137,0.894,pCi/L,18.2,pCi/L,30547995,30416643,186.28999999999999,186.28999999999999,,
30416237,FAS-095,437013.609,3681131.127,33.26909285,-81.67629744,2006-10-26 00:00:00,2006-10-19 00:00:00,2006-10-26 00:00:00,2006,CESIUM-137,19.2,pCi/L,26.3,pCi/L,30547987,30416642,183.77000000000001,183.77000000000001,,
1013073,FSB 98D,436555.87,3681704.28,33.2742356329,-81.6812521179,2006-02-27 00:00:00,2006-01-26 00:00:00,2006-02-27 00:00:00,2006,CESIUM-137,-0.334,pCi/L,13.2,pCi/L,29795231,29726869,282.30000000000001,284.60000000000002,222.60000000000002,202.60000000000002
1013065,FSB 95DR,436595.57,3681589.89,33.2732062144,-81.6808178449,2006-02-24 00:00:00,2006-01-26 00:00:00,2006-02-24 00:00:00,2006,CESIUM-137,133,pCi/L,28.9,pCi/L,29797640,29726863,282,284.39999999999998,209.39999999999998,189.39999999999998
1013089,FSB107D,436846.54,3681842.5,33.2754993891,-81.678140782,2006-02-24 00:00:00,2006-01-26 00:00:00,2006-02-24 00:00:00,2006,CESIUM-137,2.23,pCi/L,14.2,pCi/L,29797702,29726884,268.69999999999999,271.19999999999999,223.39999999999998,203.39999999999998
28661816,FSB133D,436541.774,3681128.633,33.26904269,-81.68136315,2006-02-28 00:00:00,2006-01-31 00:00:00,2006-02-28 00:00:00,2006,CESIUM-137,1.11,pCi/L,9.94,pCi/L,29797012,29726926,217.53,220.34999999999999,202.53999999999999,192.53
1015608,FSL  6D,436709.94,3682329.47,33.2798836596,-81.6796415345,2006-02-27 00:00:00,2006-02-01 00:00:00,2006-02-27 00:00:00,2006,CESIUM-137,-0.176,pCi/L,11.7,pCi/L,29799552,29726933,284.10000000000002,286.80000000000001,224.80000000000001,204.80000000000001
28661819,FSB136D,436420.123,3681045.886,33.26828918,-81.68266344,2006-02-27 00:00:00,2006-02-01 00:00:00,2006-02-27 00:00:00,2006,CESIUM-137,2.18,pCi/L,22.9,pCi/L,29799631,29726929,215.09999999999999,217.99000000000001,201.81999999999999,191.81999999999999
1015622,FSL  9D,436837.61,3682058.81,33.2774498992,-81.6782517526,2006-02-27 00:00:00,2006-02-01 00:00:00,2006-02-27 00:00:00,2006,CESIUM-137,-0.272,pCi/L,10.1,pCi/L,29799660,29726936,283.5,286.60000000000002,224.60000000000002,204.50000000000003
28661811,FSB127D,437035.989,3681484.472,33.27228119,-81.67608171,2007-01-26 00:00:00,2007-01-24 00:00:00,2007-01-26 00:00:00,2007,CESIUM-137,6.54,pCi/L,21.6,pCi/L,30660973,30631115,211.09999999999999,214.13,185.13999999999999,180.13
