STATION_SEQ,STATION_ID,EASTING,NORTHING,LATITUDE,LONGITUDE,ANALYSIS_DATE,COLLECTION_DATE,MDATE,MYEAR,ANALYTE_NAME,RESULT,RESULT_UNITS,PQL,PQL_UNITS,RESULT_SEQ,SAMPLE_SEQ,GROUND_ELEVATION,REFERENCE_ELEVATION,TOP_ELEV,BOTTOM_ELEV
1013090,FSB108D,436650.39,3682108.07,33.2778832202,-81.6802654854,1993-11-30 00:00:00,1993-11-04 00:00:00,1993-11-30 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582656,15282744,295.80000000000001,298.19999999999999,226.19999999999999,206.19999999999999
1013046,FSB 87D,436509.9,3681751.63,33.2746600056,-81.6817490246,1993-11-17 00:00:00,1993-10-31 00:00:00,1993-11-17 00:00:00,1993,IODINE-129,2.94,pCi/L,2,pCi/L,23582696,15282668,285.30000000000001,287.60000000000002,219.10000000000002,189.70000000000002
1013058,FSB 93D,436726.51,3681646.31,33.2737227929,-81.6794158776,1993-12-03 00:00:00,1993-11-04 00:00:00,1993-12-03 00:00:00,1993,IODINE-129,101,pCi/L,2,pCi/L,23582648,15282760,273.89999999999998,276.55000000000001,220.55000000000001,200.55000000000001
1013119,FSB123D,437100.86,3681796.02,33.2750950238,-81.6754068355,1993-09-02 00:00:00,1993-08-23 00:00:00,1993-09-02 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582933,15279222,236.09999999999999,238.30000000000001,216.30000000000001,196.30000000000001
1013054,FSB 91D,436791.03,3681813.55,33.2752350182,-81.6787347906,1993-11-29 00:00:00,1993-11-03 00:00:00,1993-11-29 00:00:00,1993,IODINE-129,45.9,pCi/L,2,pCi/L,23582676,15282740,276.89999999999998,279.69,223.69,203.69
1013090,FSB108D,436650.39,3682108.07,33.2778832202,-81.6802654854,1993-05-05 00:00:00,1993-04-08 00:00:00,1993-05-05 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23565668,15251722,295.80000000000001,298.19999999999999,226.19999999999999,206.19999999999999
1013109,FSB117D,436881.7,3681450.94,33.271969725,-81.6777359715,1993-06-15 00:00:00,1993-05-09 00:00:00,1993-06-15 00:00:00,1993,IODINE-129,39.6,pCi/L,2,pCi/L,23565433,15253154,228.69999999999999,230.90000000000001,211.90000000000001,191.90000000000001
1013085,FSB105DR,436509.61,3681627.72,33.2735423683,-81.6817434527,1993-09-03 00:00:00,1993-08-22 00:00:00,1993-09-03 00:00:00,1993,IODINE-129,107,pCi/L,2,pCi/L,23582922,15257198,283.60000000000002,286.26999999999998,211.26999999999998,191.16999999999999
1013035,FSB 78,436677.96,3681564.05,33.272977989,-81.6799314135,1993-10-26 00:00:00,1993-08-03 00:00:00,1993-10-26 00:00:00,1993,IODINE-129,102,pCi/L,2,pCi/L,23582858,15255848,270.69999999999999,272.69999999999999,219.69999999999999,189.69999999999999
1013093,FSB110D,436774.62,3681419.31,33.2716781612,-81.6788834706,1993-09-05 00:00:00,1993-08-22 00:00:00,1993-09-05 00:00:00,1993,IODINE-129,602,pCi/L,2,pCi/L,23582955,15257188,232.59999999999999,234.69999999999999,213.19999999999999,193.19999999999999
1013093,FSB110D,436774.62,3681419.31,33.2716781612,-81.6788834706,1993-09-05 00:00:00,1993-08-22 00:00:00,1993-09-05 00:00:00,1993,IODINE-129,674,pCi/L,2,pCi/L,23582954,15257188,232.59999999999999,234.69999999999999,213.19999999999999,193.19999999999999
1013070,FSB 97D,436555.16,3681634.79,33.2736088181,-81.6812548738,1993-09-03 00:00:00,1993-08-21 00:00:00,1993-09-03 00:00:00,1993,IODINE-129,104,pCi/L,2,pCi/L,23582956,15257104,283.89999999999998,286.19999999999999,219.19999999999999,199.19999999999999
