STATION_SEQ|SITE_ID|STATION_ID|STATION_TYPE|STATION_STATUS_CODE|GRID_PLANE|COORDINATE_STATUS_CODE|NORTHING|EASTING|PLANIMETRIC_UNITS|LONGITUDE|LATITUDE|GROUND_ELEVATION|REFERENCE_ELEVATION|ELEVATION_UNITS|REFERENCE_ELEVATION_CODE|TOP_DEPTH|BOTTOM_DEPTH|DEPTH_UNITS|INSTALLATION_DATE|ISINDOMAIN|ISINDOMAIN2|ISINDOMAIN3|AQUIFER|TOP_ELEV|BOTTOM_ELEV
1015149|19|FMC  2C|MONITORING WELL|ABANDONED|UTM||3681509.6|436734.67|m|-81.6793187142|33.2724901996|237|239.5|ft|C|70.700000000000003|74.700000000000003|ft|1968-11-12||True|True|C|168.80000000000001|164.80000000000001
1015150|19|FMC  3A|MONITORING WELL|ABANDONED|UTM||3681385.75|436828.59|m|-81.6783016619|33.2713786257|223.69999999999999|225.19999999999999|ft|C|18|22.300000000000001|ft|1968-11-15||True|True|A|207.19999999999999|202.89999999999998
1015151|19|FMC  3B|MONITORING WELL|ABANDONED|UTM||3681385.75|436828.59|m|-81.6783016619|33.2713786257|223.59999999999999|225.40000000000001|ft|C|31|35|ft|1968-11-15||True|True|B|194.40000000000001|190.40000000000001
1015152|19|FMC  3C|MONITORING WELL|ABANDONED|UTM||3681385.75|436828.59|m|-81.6783016619|33.2713786257|223.59999999999999|225.09999999999999|ft|C|47.100000000000001|51.100000000000001|ft|1968-11-15||True|True|C|178|174
1015153|19|FSB  0PD|PIEZOMETER WELL|ABANDONED|UTM||3681454.66|436638.91|m|-81.6803430422|33.271989039|252.59999999999999|254.90000000000001|ft|S|37.299999999999997|81|ft|1991-10-29||True|True|D|217.60000000000002|173.90000000000001
1015154|19|FSB 25PD|PIEZOMETER WELL|ABANDONED|UTM||3681447.65|436637.15|m|-81.6803614488|33.2719257081|252.30000000000001|254.59999999999999|ft|C|35.899999999999999|81|ft|1991-10-30||True|True|D|218.69999999999999|173.59999999999999
1015155|19|FSB 50PD|PIEZOMETER WELL|ABANDONED|UTM||3681471.84|436635.74|m|-81.6803782799|33.2721438098|255.69999999999999|258|ft|C|35.899999999999999|81|ft|1991-11-01||True|True|D|222.09999999999999|177
1015156|19|FSB100PD|PIEZOMETER WELL|ABANDONED|UTM||3681458.4|436663.05|m|-81.6800841151|33.2720241906|250.59999999999999|252.90000000000001|ft|C|35.399999999999999|75.5|ft|1991-11-05||True|True|D|217.5|177.40000000000001
1015157|19|FSB121D|MONITORING WELL|ABANDONED|UTM||3681351.12|436176.29|m|-81.6853028459|33.2710278658|254|256.30000000000001|ft|S|39|59|ft|1990-07-20||True|True|D|217.30000000000001|197.30000000000001
1015158|19|FSB150PD|PIEZOMETER WELL|ABANDONED|UTM||3681447.41|436594.47|m|-81.6808196823|33.2719210346|257.19999999999999|259.39999999999998|ft|C|35.899999999999999|81|ft|1991-11-04||True|True|D|223.49999999999997|178.39999999999998
1015281|103|MZ   1|MONITORING WELL|ACTIVE|UTM||3681707.35|437552.56|m|-81.6705506868|33.2743215098|213|215.5|ft|C|0|0|ft|||True|True|D|215.5|215.5
1015282|103|MZ   2|MONITORING WELL|ABANDONED|UTM||3682012.16|437560.2|m|-81.6704896691|33.2770712263|257.69999999999999|260.19999999999999|ft|C|0|0|ft|||True|True|D|260.19999999999999|260.19999999999999
1015283|103|MZ   3|MONITORING WELL|ABANDONED|UTM||3682284.7|437523.49|m|-81.6709026473|33.2795273088|256.19999999999999|258.69999999999999|ft|C|0|0|ft|||False|True|D|258.69999999999999|258.69999999999999
1015401|2093|PBE  2B|PIEZOMETER WELL|ACTIVE|UTM||3681918.5|437614.81|m|-81.6698968402|33.276229609|249.59999999999999|252.09999999999999|ft|C|0|0|ft|1962-05-01||False|True|D|252.09999999999999|252.09999999999999
1015402|2093|PBE  2C|PIEZOMETER WELL|ACTIVE|UTM||3681908.32|437601.86|m|-81.6700351887|33.2761370398|249.09999999999999|251.59999999999999|ft|C|0|0|ft|1962-05-01||False|True|D|251.59999999999999|251.59999999999999
1015529|103|S    4|MONITORING WELL|ABANDONED|UTM||3682084.46|437623.27|m|-81.6698174325|33.2777269966|255.69999999999999|258.19999999999999|ft|C|0|0|ft|||False|True|D|258.19999999999999|258.19999999999999
1015530|103|S    6|MONITORING WELL|ABANDONED|UTM||3681786.14|437668.57|m|-81.6693104862|33.2750388797|221.69999999999999|224.19999999999999|ft|C|0|0|ft|||False|True|D|224.19999999999999|224.19999999999999
1015533|103|S   10|MONITORING WELL|ABANDONED|UTM||3682121.57|437483.19|m|-81.6713241199|33.2780536009|250.90000000000001|253.40000000000001|ft|C|0|0|ft|||True|True|D|253.40000000000001|253.40000000000001
1015534|103|S   11|MONITORING WELL|ABANDONED|UTM||3681986.05386722|437489.12254275|m|-81.671251064|33.2768316397|250.80000000000001|253.30000000000001|ft|C|0|0|ft|||True|True|D|253.30000000000001|253.30000000000001
27597176|103|SWP101D|MONITORING WELL|ACTIVE|UTM|S|3682147.32|437301.36|m|-81.67327831|33.27827536|267.86000000000001|270.61000000000001|ft|C|63.659999999999997|73.629999999999995|ft|1998-12-10||True|True|D|206.95000000000002|196.98000000000002
27801354|53|CRSB-SW19|SURFACE WATER|INACTIVE|UTM|P|3680477.677|436303.891|m|-81.68387142|33.26315729|||ft|G||||||True|True|D||
27801355|53|CRSB-SW20|SURFACE WATER|INACTIVE|UTM|P|3680454.4|436373.544|m|-81.683122|33.26295145|||ft|G||||||True|True|D||
27813821|19|FMC-002HD|SURFACE WATER|ACTIVE ECO-SENSITIVE|UTM|A|3681469.138|437572.196|m|-81.67032343|33.27217406|||ft|||||||True|True|D||
1014408|103|S    9|MONITORING WELL|ABANDONED|UTM||3682251.46|437542.03|m|-81.6707012751|33.2792285708|257.5|260.5|ft|C|0|0|ft|||False|True|D|260.5|260.5
