"","STATION_ID","EASTING","NORTHING","SurfaceElevation","TCCZ_top","TCCZ_bot","TCCZ_th_ft"
"141","FSB96A",436561.675321184,3681523.93893812,277.7,167,154,13
"142","FSB97A",436555.915920449,3681628.6696662,283.8,163,152,11
"143","FSB79A",436871.42,3681290.47,216.1,173,164,9
"144","FSB99A",436551.461839846,3681815.53425602,285.3,178,173,5
"145","FSBPC",436792.713231771,3681393.62050781,230.8,161,157,4
"146","HAA1TA",440702.121394522,3682657.26136431,290.2,208,204,4
"147","HAA2AA",440105.872233996,3682612.63172002,291.4,190,186,4
"148","HAA3AA",439738.13230004,3682556.97764379,274.5,191,179,12
"149","HAA4AA",440031.907957604,3683047.92656075,299.2,202,194,8
"150","HAA6AA",440647.787222538,3683201.44714055,279.8,210,183,27
"151","HC12A",439261.518126922,3682850.37448146,287.3,195,190,5
"152","HCA4AA",440229.340947839,3683301.13661683,308.6,234,230,4
"153","HCH1",439681.242856882,3683008.69345738,284,202,187,15
"154","HCH2",439526.005493709,3682791.37075424,270.9,196,180,16
"155","HCH3",439576.421591648,3682631.78688847,264,197,179,18
"156","HCH4",439304.070570946,3682603.4227977,269.9,193,183,10
"157","HCH5",439465.906087679,3682480.30703991,255,192,180,12
"158","HIW1BD",439086.92387451,3682488.69771836,275.8,205,NA,NA
"159","HIW1MC",439130.435851841,3682496.02472157,272.3,187,180,7
"160","HIW2A",438572.56205661,3682372.48008814,276.3,202,195,7
"161","HIW2MC",438563.289730123,3682356.94858998,269,199,194,5
"162","HIW4MC",438543.572618809,3682317.60722763,263.4,197,190,7
"163","HIW5MC",438454.693995241,3682402.83769784,266.1,184,178,6
"164","HMD1C",437643.733058354,3683762.48900988,262.7,229,226,3
"165","HMD2C",437549.237146723,3684045.76033274,259.3,222,216,6
"166","HMD3C",437681.996954996,3684109.57514352,257.5,224,219,5
"167","HMD4C",437866.21914406,3684086.02366764,248.5,224,220,4
"168","HPC1",440498.633727376,3682698.78709863,293.5,195,188,7
"169","HPT1A",439230.606692311,3683453.55950531,232.9,NA,NA,NA
"170","HPT2A",439096.889320986,3683437.13971679,257.8,NA,NA,NA
"171","HSB101C",439252.427472638,3682397.09608337,256.3,195,189,6
"172","HSB103C",439256.419692517,3682246.22817039,245.2,195,181,14
"173","HSB104C",439235.982134119,3682149.52626296,245.5,194,185,9
"174","HSB105C",439174.364598234,3682131.24300455,247.2,190,183,7
"175","HSB106C",439068.071891887,3682156.986256,250.7,192,184,8
"176","HSB107C",439018.014866655,3682112.10472755,259.3,199,191,8
"177","HSB109C",438888.328979897,3682012.53634303,259.4,203,189,14
"178","HSB110C",438818.441213681,3681997.27829957,253.4,192,188,4
"179","HSB111C",438749.269165995,3681999.72777527,253.7,188,172,16
"180","HSB112C",438685.950720495,3682042.95972015,252.6,191,186,5
"181","HSB113C",438594.680563541,3682035.27784389,258.7,188,174,14
"182","HSB115C",438504.673801344,3682098.24163538,266.8,209,197,12
"183","HSB117A",438275.166314976,3681961.47410253,234.8,216,192,24
"184","HSB118A",438431.003082627,3682060.89496459,245,183,173,10
"185","HSB119A",438441.728421073,3682214.22248171,254.8,213,195,18
"186","HSB120A",438467.38378297,3682350.71637235,266,203,196,7
"187","HSB121A",438949.053421054,3682184.88576678,272.3,197,184,13
"188","HSB122A",439006.514080041,3682291.20138462,269.4,188,177,11
"189","HSB123A",439100.580920086,3682357.37830561,263.6,196,186,10
"190","HSB124A",439194.851129046,3682429.6959343,263.9,NA,NA,NA
"191","HSB132C",439392.540132168,3682299.52409099,238.3,163,158,5
"192","HSB139A",439104.024608767,3681959.46957196,231.5,190,179,11
"193","HSB140A",439092.712094516,3681545.27866589,234,194,181,13
"194","HSB141A",439532.811130638,3682304.09342919,252.6,181,167,14
"195","HSB143C",437504.53,3681779.12,220.1,198,179,19
"196","HSB144A",438679.91471278,3681938.95188021,233.6,186,179,7
"197","HSB145C",439208.562893628,3682024.82668847,233.7,184,175,9
"198","HSB146A",439488.499490879,3681994.93039229,249.5,174,163,11
"199","HSB148C",438781.110203387,3681356.58993971,248.9,187,175,12
"200","HSB151C",437943.183951698,3681819.42133421,211.6,193,183,10
"201","HSB152C",438201.727054254,3681636.04495542,212.1,198,186,12
"202","HSB65A",439133.057888106,3682473.88739358,270.7,204,199,5
"203","HSB68A",438915.783335011,3681973.00968647,247.4,198,193,5
"204","HSB69A",438806.556428282,3681901.9781027,234.1,187,181,6
"205","HSB83A",439316.204402148,3682310.36474962,234.9,195,188,7
"206","HSB84A",438773.84377775,3681892.03473204,226.7,205,181,24
"207","HSB85A",439014.935527985,3682898.85968656,292.1,204,200,4
"208","HSB86A",438514.409089775,3682055.20111702,260,185,178,7
"209","HSBPC",438503.559700228,3681896.2089875,227.8,188,178,10
"210","HSBTB",439204.701641039,3682510.135431,267.1,207,199,8
"211","HSL6AA",439609.267531768,3682917.18083197,274.6,174,169,5
"212","HSL8AA",439740.15665966,3683026.33144131,286.7,193,186,7
"213","IDB2A",442440.53744813,3686708.8338504,301.79,245,228,17
"214","IDP3A",431772.899529275,3681890.62839016,282.2,190,182,8
"215","LWR9SB",436062.663157707,3679945.80375853,238.2,179,161,18
"216","MWD1A",443753.561743525,3684765.71556912,327.5,218,211,7
"217","NPN1A",443233.651173834,3683271.36696967,335.9,235,224,11
"218","OFS1SB",437594.33129552,3682307.81059716,261.6,196,186,10
"219","OFS2SB",437602.02693185,3682201.66262367,257.5,198,188,10
"220","OFS3SB",437854.02188767,3682233.96668173,258.1,196,185,11
"221","OFS4SB",438075.065344978,3682245.62406999,258.7,196,192,4
"222","OFS5SB",437900.825278006,3682024.18475043,228.7,189,178,11
"223","P14TA",443566.704710402,3685704.64137543,294.4,213,203,10
"224","P18TA",437347.722801949,3679343.3985537,296.9,175,167,8
"225","P27TA",440877.781548342,3682969.73748418,274.1,180,169,11
"226","P28TA",437167.174795645,3683623.8516159,285.6,215,211,4
"227","SDS21",440095.926782459,3685630.21796388,251,205,199,6
"228","SDS22",440273.175904333,3684981.33074538,283,191,188,3
"229","SSW3",435066.525553624,3678790.5499252,178.7,139,134,5
"230","YSC1A",439853.312631549,3685110.21587149,268.9,210,199,11
"231","YSC1C",439929.681761703,3685220.9639442,272.5,215,213,2
"232","YSC2A",439967.475617676,3685295.69744494,281.7,220,215,5
"233","YSC3SB",440036.366490947,3685107.82470511,277,211,205,6
"234","YSC4A",440140.339732805,3684946.09699398,287.5,223,214,9
"235","YSC5A",440942.537199486,3684492.01427446,273,221,209,12
